Bayern gesamt Arbeitslose;Bayern gesamt Quote;Datum (Quoten-BY-DE-monatl-gs);Datum (Zahlen-BY-DE-monatl-gs);Datum;Deutschland Arbeitslose;Deutschland Quote;Mittelfranken Arbeitslose;Mittelfranken Quote;Niederbayern Arbeitslose;Niederbayern Quote;Number of Records;Oberbayern Arbeitslose;Oberbayern Quote;Oberfranken Arbeitslose;Oberfranken Quote;Oberpfalz Arbeitslose;Oberpfalz Quote;Schwaben Arbeitslose;Schwaben Quote;Unterfranken Arbeitslose;Unterfranken Quote
230513;3,4;30.09.2011;30.09.2011;30.09.2011;2795570;6,6;40057;4,3;18534;2,9;1;76648;3,3;22726;3,9;18180;3,1;31224;3,2;23144;3,2
221438;3,3;31.10.2011;31.10.2011;31.10.2011;2736926;6,5;38729;4,2;17554;2,8;1;74688;3,2;21677;3,8;17148;2,9;29638;3,1;22004;3,1
220058;3,3;30.11.2011;30.11.2011;30.11.2011;2713054;6,4;38393;4,2;18136;2,8;1;73834;3,2;21347;3,7;16970;2,9;29874;3,1;21504;3
229800;3,4;31.12.2011;31.12.2011;31.12.2011;2780206;6,6;39600;4,3;20651;3,2;1;75725;3,3;22822;4;18539;3,2;30113;3,1;22350;3,1
281651;4,2;31.01.2012;31.01.2012;31.01.2012;3081706;7,3;45804;5;30554;4,8;1;89786;3,9;28517;5;25118;4,3;35418;3,7;26454;3,7
284357;4,2;29.02.2012;29.02.2012;29.02.2012;3109947;7,4;45751;5;30864;4,8;1;90040;3,9;29151;5,1;25690;4,4;35958;3,7;26903;3,8
266780;4;31.03.2012;31.03.2012;31.03.2012;3027957;7,2;44315;4,8;26747;4,2;1;85656;3,7;27131;4,7;23039;3,9;34384;3,5;25508;3,6
249517;3,7;30.04.2012;30.04.2012;30.04.2012;2963325;7;43015;4,7;21579;3,4;1;82385;3,5;24947;4,3;20204;3,4;32846;3,4;24541;3,4
235509;3,5;31.05.2012;31.05.2012;31.05.2012;2855279;6,7;41544;4,4;19349;3;1;78092;3,3;23214;4;18684;3,1;31194;3,2;23432;3,2
231225;3,4;30.06.2012;30.06.2012;30.06.2012;2809105;6,6;40721;4,4;18733;2,9;1;76850;3,3;22689;3,9;18386;3,1;30538;3,1;23308;3,2
235177;3,4;31.07.2012;31.07.2012;31.07.2012;2875971;6,8;41122;4,4;18682;2,9;1;78688;3,3;22591;3,9;18789;3,2;31140;3,2;24165;3,3
249523;3,7;31.08.2012;31.08.2012;31.08.2012;2905112;6,8;43395;4,6;20160;3,1;1;81975;3,5;24205;4,2;20496;3,4;33154;3,4;26138;3,6
237539;3,5;30.09.2012;30.09.2012;30.09.2012;2788243;6,5;41645;4,4;18809;2,9;1;78537;3,3;23071;4;19321;3,3;31528;3,2;24628;3,4
231468;3,4;31.10.2012;31.10.2012;31.10.2012;2753354;6,5;41166;4,4;18268;2,8;1;76811;3,2;22185;3,8;18485;3,1;31063;3,2;23490;3,3
234331;3,4;30.11.2012;30.11.2012;30.11.2012;2751480;6,5;41192;4,4;19055;3;1;78024;3,3;22440;3,9;18438;3,1;31851;3,3;23331;3,2
248905;3,6;31.12.2012;31.12.2012;31.12.2012;2839821;6,7;42668;4,6;22389;3,5;1;81271;3,4;24293;4,2;20555;3,5;32972;3,4;24757;3,4
300139;4,4;31.01.2013;31.01.2013;31.01.2013;3138229;7,4;49269;5,3;31334;4,9;1;95809;4,1;29714;5,1;27376;4,6;37792;3,9;28845;4
